,AverageTemperature,rolling_mean,rolling_std
1990-03-01,16.038,20.634333333333334,4.592255067617707
1990-04-01,19.270000000000003,20.521583333333336,4.609137159605961
1990-05-01,21.152,20.43041666666667,4.5826716594011705
1990-06-01,24.102,20.431416666666667,4.583544052731819
1990-07-01,26.31,20.465750000000003,4.629526779763278
1990-08-01,26.253,20.429333333333332,4.5775416255161705
1990-09-01,25.12,20.382250000000003,4.521126973845819
1990-10-01,23.5,20.478083333333334,4.578453459775825
1990-11-01,21.27,20.63275,4.570581763746362
1990-12-01,17.169,20.730833333333333,4.473537888788263
1991-01-01,14.682,20.770666666666667,4.411840933696763
1991-02-01,15.14,20.833833333333335,4.3164506638363465
1991-03-01,17.634,20.966833333333334,4.177601069629508
1991-04-01,19.617,20.995749999999997,4.16597287829952
1991-05-01,21.396,21.016083333333334,4.167400049700333
1991-06-01,24.377,21.038999999999998,4.186624068495881
1991-07-01,25.581,20.97825,4.107731825472534
1991-08-01,26.685,21.01425,4.159725998952762
1991-09-01,25.123,21.0145,4.159995268791006
1991-10-01,23.894,21.047333333333334,4.182887657051653
1991-11-01,19.771,20.922416666666667,4.197989095622999
1991-12-01,13.771,20.63925,4.572115685424963
1992-01-01,13.421,20.534166666666668,4.733137107541653
1992-02-01,12.392,20.30516666666667,5.072179087627878
1992-03-01,15.22,20.104,5.233069497306167
1992-04-01,17.715000000000003,19.9455,5.277773850609901
1992-05-01,20.684,19.886166666666664,5.2639688765543795
1992-06-01,24.87,19.92725,5.303976280712753
1992-07-01,25.872,19.9515,5.332762502595701
1992-08-01,27.006,19.97825,5.370282506958578
1992-09-01,25.201,19.984750000000002,5.377118476808579
1992-10-01,23.985,19.99233333333333,5.383193616725239
1992-11-01,20.167,20.025333333333332,5.382927225511355
1992-12-01,14.552,20.090416666666666,5.30458483438161
1993-01-01,13.622,20.107166666666668,5.281879414707895
1993-02-01,13.161,20.17125,5.18351325445308
1993-03-01,15.135000000000002,20.164166666666667,5.190947029262186
1993-04-01,18.915000000000006,20.264166666666668,5.150880257222283
1993-05-01,20.818,20.275333333333332,5.152018286481745
1993-06-01,24.813,20.270583333333335,5.147421268916781
1993-07-01,26.269,20.30366666666667,5.187812664546024
1993-08-01,27.167,20.317083333333333,5.206895034616602
1993-09-01,25.897,20.375083333333333,5.269740160203393
1993-10-01,25.348000000000003,20.488666666666667,5.368386948073165
1993-11-01,20.162,20.48825,5.368414377804499
1993-12-01,17.573,20.740000000000002,5.130281615520279
1994-01-01,15.813,20.922583333333332,4.887154302274724
1994-02-01,14.953,21.071916666666667,4.650055648901282
1994-03-01,15.975,21.141916666666667,4.5579697724940695
1994-04-01,20.200000000000006,21.249,4.515794705052674
1994-05-01,22.159,21.36075,4.520749156037984
1994-06-01,24.133000000000003,21.304083333333335,4.477597863675102
1994-07-01,26.393,21.314416666666666,4.490222741151209
1994-08-01,27.139,21.312083333333334,4.486911034195779
1994-09-01,26.845,21.39108333333333,4.582306792203982
1994-10-01,25.613000000000003,21.41316666666667,4.603698411126214
1994-11-01,19.212,21.334000000000003,4.6352300913762585
1994-12-01,14.722,21.096416666666666,4.910425003978465
1995-01-01,14.072,20.951333333333334,5.102676291254744
1995-02-01,15.212000000000002,20.972916666666666,5.075473223943717
1995-03-01,16.758,21.03816666666667,5.0099897810335445
1995-04-01,17.575000000000006,20.819416666666665,5.106295178205977
1995-05-01,20.774,20.704,5.088887018878391
1995-06-01,26.106,20.86841666666667,5.239393189332536
1995-07-01,26.826,20.904500000000002,5.282215487325879
1995-08-01,27.255,20.914166666666667,5.294753352197436
1995-09-01,26.472,20.883083333333335,5.257736091760976
1995-10-01,22.893,20.65641666666667,5.091283075616647
1995-11-01,18.011999999999997,20.556416666666667,5.133839577801975
1995-12-01,15.533,20.624,5.054780671440012
1996-01-01,14.375,20.64925,5.019711420988252
1996-02-01,15.41,20.66575,5.000502849714207
1996-03-01,16.247,20.623166666666666,5.038834620557936
1996-04-01,17.747000000000003,20.6375,5.029611832121649
1996-05-01,22.321,20.766416666666668,5.0531992828726
1996-06-01,24.411,20.62516666666667,4.91209519883564
1996-07-01,26.153,20.569083333333335,4.838147043094698
1996-08-01,27.048,20.551833333333335,4.812442619886171
